question,answer,label,context
What is the capital of France?,Paris is the capital of France.,0,Paris is the capital and most populous city of France.
What is the capital of France?,Lyon is the capital of France.,1,Paris is the capital and most populous city of France.
What is Earth's only natural satellite?,The Moon is Earth's only natural satellite.,0,The Moon is Earth's only natural satellite.
What is Earth's only natural satellite?,Mars is Earth's only natural satellite.,1,The Moon is Earth's only natural satellite.
What is the chemical formula of water?,Water has the chemical formula H2O.,0,Water is a chemical compound with the formula H2O.
What is the chemical formula of water?,Water has the chemical formula CO2.,1,Water is a chemical compound with the formula H2O.
What kind of language is Python?,Python is a high-level general-purpose programming language.,0,Python is a high-level general-purpose programming language.
What kind of language is Python?,Python is a low-level assembly language.,1,Python is a high-level general-purpose programming language.
What is FastAPI?,FastAPI is a modern Python web framework for building APIs.,0,FastAPI is a modern Python web framework for building APIs based on standard Python type hints.
What is FastAPI?,FastAPI is a JavaScript frontend framework for mobile apps.,1,FastAPI is a modern Python web framework for building APIs based on standard Python type hints.
